set	project_id	shard	conversation_id	title	create_time_utc	update_time_utc	memory_scope	is_archived
confirmed_from_share_link	g-p-69c6e425347c81918dfba984fb76206c	conversations-019.json	69c6e4d6-23b4-8328-a4dc-d555365791eb	Theatrical-Musical Composition System	2026-03-27T20:13:41.997401+00:00	2026-03-27T22:08:52.246083+00:00	global_enabled	False
confirmed_from_share_link	g-p-69c6e425347c81918dfba984fb76206c	conversations-019.json	69c6e938-f0b8-832b-9f51-361505af6b25	Speech-based Performance System	2026-03-27T20:32:11.495136+00:00	2026-03-27T22:07:25.373010+00:00	global_enabled	False
confirmed_from_share_link	g-p-69c6e425347c81918dfba984fb76206c	conversations-019.json	69c6ec6f-164c-8329-ac9c-6734aeda8e5b	Branch · Speech-based Performance System	2026-03-27T20:45:55.928824+00:00	2026-03-27T21:48:16.155862+00:00	global_enabled	False
confirmed_from_share_link	g-p-69c6e425347c81918dfba984fb76206c	conversations-019.json	69c700a2-2b2c-832f-bb09-8a6d069b352b	Gap Analysis and Merging	2026-03-27T22:12:08.563109+00:00	2026-03-28T03:55:56.332085+00:00	global_enabled	False
confirmed_from_share_link	g-p-69c6e425347c81918dfba984fb76206c	conversations-019.json	69c75434-4510-832f-aa2d-381db758c106	Tracker and Ableton Features	2026-03-28T04:08:45.469842+00:00	2026-03-28T11:13:54.872443+00:00	global_enabled	False
confirmed_from_share_link	g-p-69c6e425347c81918dfba984fb76206c	conversations-019.json	69ca687a-0a20-8327-84aa-13ed8f02697f	Prototype and POC Steps	2026-03-30T12:11:56.538255+00:00	2026-03-30T22:15:59.661225+00:00	global_enabled	False
confirmed_from_share_link	g-p-69c6e425347c81918dfba984fb76206c	conversations-019.json	69caf63d-e7f0-8327-a7d7-f2b9b3b2e634	Prototype & Proof of Concept	2026-03-30T22:16:48.860984+00:00	2026-03-31T03:00:17.426126+00:00	global_enabled	False
confirmed_from_share_link	g-p-69c6e425347c81918dfba984fb76206c	conversations-019.json	69cb38cf-de74-8327-8275-51d20948709e	Branch · Prototype & Proof of Concept	2026-03-31T03:00:37.461552+00:00	2026-03-31T03:11:49.354190+00:00	global_enabled	False
confirmed_from_share_link	g-p-69c6e425347c81918dfba984fb76206c	conversations-019.json	69cb7d8b-a454-8331-8997-a52daa49b92e	Discrepancy Engine Design	2026-03-31T07:53:53.883461+00:00	2026-03-31T07:55:25.689184+00:00	global_enabled	False
previous_literal_dramaturgist_marker	g-p-697be6eeefe48191b686f3661f468d1b	conversations-016.json	69359031-c54c-8331-bdc8-c42310c8b3f8	Surviving collapse	2025-12-07T14:33:22.585139+00:00	2026-02-02T16:24:49.922929+00:00	global_enabled	False
previous_literal_dramaturgist_marker	g-p-697be6eeefe48191b686f3661f468d1b	conversations-000.json	58549c7f-6444-8003-a5ca-9863c0587801	Narrative Co-Architecture Proposal	2025-12-11T19:56:11.063768+00:00	2026-02-02T16:34:21.676971+00:00	global_enabled	False
previous_literal_dramaturgist_marker	g-p-697be6eeefe48191b686f3661f468d1b	conversations-017.json	694a99ec-1c04-8330-84cb-bfa160dd44eb	Reciprocity and Support	2025-12-23T13:32:44.179853+00:00	2026-02-02T16:25:00.510799+00:00	global_enabled	False
previous_literal_dramaturgist_marker	g-p-697be6eeefe48191b686f3661f468d1b	conversations-017.json	6958a8d6-7bb0-8325-9057-fe6bd6739f60	Languages with Unique Scripts	2026-01-03T05:28:32.596322+00:00	2026-02-02T16:24:35.683069+00:00	global_enabled	False
previous_literal_dramaturgist_marker	g-p-697be6eeefe48191b686f3661f468d1b	conversations-017.json	6967026d-38dc-832c-bd13-2a335c90a5b8	Learning Order for Tools	2026-01-14T02:43:41.503100+00:00	2026-02-02T16:24:44.008680+00:00	global_enabled	False
previous_literal_dramaturgist_marker	g-p-697be6eeefe48191b686f3661f468d1b	conversations-017.json	696eb31c-41e4-8329-a3dc-9fc2732a6527	Boundaries and Toxic Relationships	2026-01-19T22:41:33.187221+00:00	2026-02-02T16:24:14.872567+00:00	global_enabled	False
previous_literal_dramaturgist_marker	g-p-697be6eeefe48191b686f3661f468d1b	conversations-017.json	696f4c8f-8cec-832d-aee4-23f0f63c7a75	Branch · Phone Call Boundary Response	2026-01-20T09:36:16.498940+00:00	2026-02-02T14:54:54.481139+00:00	global_enabled	False
previous_literal_dramaturgist_marker	g-p-697be6eeefe48191b686f3661f468d1b	conversations-017.json	696fbbeb-b77c-832a-b5d5-6653c9fe7b09	Branch · Phone Call Boundary Response	2026-01-20T17:31:29.428551+00:00	2026-02-02T16:18:42.820015+00:00	global_enabled	False
previous_literal_dramaturgist_marker	g-p-697be6eeefe48191b686f3661f468d1b	conversations-017.json	697a172c-11cc-832d-8957-2801c696904d	Relaxation Day Planning	2026-01-28T14:03:44.959349+00:00	2026-02-02T16:24:28.591405+00:00	global_enabled	False
previous_literal_dramaturgist_marker	g-p-697be6eeefe48191b686f3661f468d1b	conversations-017.json	697ad265-e550-832b-8895-89df66612be3	Era of the Orchestrator	2026-01-29T03:25:27.238778+00:00	2026-01-29T23:02:09.624815+00:00	global_enabled	False
previous_literal_dramaturgist_marker	g-p-697be6eeefe48191b686f3661f468d1b	conversations-018.json	6980b047-b420-8332-810e-63609df81657	Funding Plan for AI Projects	2026-02-02T14:10:16.045487+00:00	2026-02-02T16:19:12.581826+00:00	global_enabled	False
previous_literal_dramaturgist_marker	g-p-697be6eeefe48191b686f3661f468d1b	conversations-018.json	698db748-a740-8333-a0dc-74054ce235bf	Professionalization Strategy Plan	2026-02-12T11:19:38.121085+00:00	2026-02-12T11:41:34.350749+00:00	global_enabled	False
previous_project_v2_candidate	g-p-692604860ac48191a223bf20aeb4ce69	conversations-015.json	6925dda7-bea4-8330-bbc4-7b906523572a	Meta Latin in drama	2025-11-25T16:47:57.548479+00:00	2025-11-25T19:34:26.122092+00:00	project_v2	False
previous_project_v2_candidate	g-p-692604860ac48191a223bf20aeb4ce69	conversations-015.json	6926026b-2edc-8326-a9c9-e1bd5d204cb0	Blockchain as CV analogy	2025-11-25T19:24:58.674573+00:00	2025-11-25T19:34:38.368855+00:00	project_v2	False
previous_project_v2_candidate	g-p-692604860ac48191a223bf20aeb4ce69	conversations-015.json	692604dd-d14c-8325-bfa4-d4ca507af2fd	Blockchain as CV/resume	2025-11-25T19:34:55.450515+00:00	2025-11-25T19:35:21.177195+00:00	project_v2	False
previous_project_v2_candidate	g-p-692604860ac48191a223bf20aeb4ce69	conversations-015.json	69260616-f844-8333-aa67-9427376d1e66	Draft design specification	2025-11-25T19:40:08.733727+00:00	2025-11-25T20:03:27.241615+00:00	project_v2	False
previous_project_v2_candidate	g-p-692604860ac48191a223bf20aeb4ce69	conversations-015.json	692609e7-095c-832d-8b87-ae15d2d68bba	Technical architecture diagram	2025-11-25T19:56:24.404507+00:00	2025-11-25T19:58:00.163188+00:00	project_v2	False
previous_project_v2_candidate	g-p-692604860ac48191a223bf20aeb4ce69	conversations-015.json	69260bf0-f720-8329-a97c-ba76944db36f	Create schema specification	2025-11-25T20:05:08.660417+00:00	2025-11-25T20:06:43.654154+00:00	project_v2	False
previous_project_v2_candidate	g-p-692604860ac48191a223bf20aeb4ce69	conversations-015.json	69260c33-146c-832d-a2c4-5f38265541de	Concept deck creation	2025-11-25T20:06:13.452400+00:00	2025-11-25T20:07:12.871847+00:00	project_v2	False
previous_project_v2_candidate	g-p-692604860ac48191a223bf20aeb4ce69	conversations-015.json	69260c8f-4c54-832b-bd27-0a2628e8492f	Mask name draft	2025-11-25T20:07:45.390554+00:00	2025-12-26T18:34:34.542217+00:00	project_v2	False
previous_project_v2_candidate	g-p-692604860ac48191a223bf20aeb4ce69	conversations-015.json	69260e55-7920-832f-88ef-e80da602932a	Product roadmap creation	2025-11-25T20:15:19.243819+00:00	2025-11-25T20:26:30.306330+00:00	project_v2	False
previous_project_v2_candidate	g-p-692604860ac48191a223bf20aeb4ce69	conversations-015.json	69261134-22a4-832b-aa4d-ab0174de06e9	Prospecting questions development	2025-11-25T20:27:34.510883+00:00	2025-11-25T20:50:43.845251+00:00	project_v2	False
previous_project_v2_candidate	g-p-692604860ac48191a223bf20aeb4ce69	conversations-016.json	6926124d-5764-8331-893a-9a99ac299460	Identity and narrative questions	2025-11-25T20:32:15.156558+00:00	2025-11-25T20:32:18.985429+00:00	project_v2	False
previous_project_v2_candidate	g-p-692604860ac48191a223bf20aeb4ce69	conversations-016.json	69289fcf-af28-8332-bba4-db3a76a5f3cd	Next steps for system	2025-11-27T19:00:33.010940+00:00	2025-11-27T19:01:12.014738+00:00	project_v2	False
previous_project_v2_candidate	g-p-692604860ac48191a223bf20aeb4ce69	conversations-016.json	6928a1ef-e1b0-8327-98d7-10883e6964b1	Thread count inquiry	2025-11-27T19:09:37.414985+00:00	2025-11-27T19:35:54.199098+00:00	project_v2	False
previous_project_v2_candidate	g-p-692604860ac48191a223bf20aeb4ce69	conversations-016.json	6928a969-83ec-832a-8b17-ee778d7d0a12	Generate master index	2025-11-27T19:41:30.753513+00:00	2025-11-27T19:42:51.854491+00:00	project_v2	False
previous_project_v2_candidate	g-p-692604860ac48191a223bf20aeb4ce69	conversations-016.json	6928a9d3-ff9c-8333-bf4a-9337536a9293	Inter-thread dependency graph	2025-11-27T19:43:17.693333+00:00	2025-11-27T19:44:26.413405+00:00	project_v2	False
previous_project_v2_candidate	g-p-692604860ac48191a223bf20aeb4ce69	conversations-016.json	6928aa2b-3f50-8327-8c9f-2ecc2dae2b19	Autonomous agent meta-prompt	2025-11-27T19:44:44.589765+00:00	2025-11-27T19:45:23.499779+00:00	project_v2	False
previous_project_v2_candidate	g-p-692604860ac48191a223bf20aeb4ce69	conversations-016.json	6928aaa7-4dd4-8330-bac6-332c3f4dd0a9	Consolidate project bible	2025-11-27T19:46:48.619696+00:00	2025-11-27T19:48:09.073582+00:00	project_v2	False
previous_project_v2_candidate	g-p-692604860ac48191a223bf20aeb4ce69	conversations-016.json	6928ad96-9df8-8326-a4b9-89778847e3c8	Project plan with effort units	2025-11-27T19:59:20.348434+00:00	2025-11-27T20:00:03.700724+00:00	project_v2	False
previous_project_v2_candidate	g-p-692604860ac48191a223bf20aeb4ce69	conversations-016.json	6928adf7-7164-832f-bc9c-6fc28dac9948	Role-based resource distribution	2025-11-27T20:00:57.018414+00:00	2025-11-27T20:01:18.558714+00:00	project_v2	False
previous_project_v2_candidate	g-p-692604860ac48191a223bf20aeb4ce69	conversations-016.json	6928ae36-7118-8330-b132-9b430705e325	Technical execution plan	2025-11-27T20:02:00.346151+00:00	2025-11-27T20:02:38.219135+00:00	project_v2	False
previous_project_v2_candidate	g-p-692604860ac48191a223bf20aeb4ce69	conversations-016.json	6928aea7-cac8-832b-aba3-935f1fc9f560	Engineering task mapping	2025-11-27T20:03:53.385169+00:00	2025-11-27T20:04:49.376980+00:00	project_v2	False
previous_project_v2_candidate	g-p-692604860ac48191a223bf20aeb4ce69	conversations-016.json	6928af00-52e0-8332-97f3-a541a0ee2ebc	Content development workflow	2025-11-27T20:05:21.583923+00:00	2025-11-27T20:06:10.621022+00:00	project_v2	False
previous_project_v2_candidate	g-p-692604860ac48191a223bf20aeb4ce69	conversations-016.json	6928af83-e0c4-8332-87ec-f561079553d9	Automatable workflow version	2025-11-27T20:07:33.478356+00:00	2025-11-27T20:08:32.187534+00:00	project_v2	False
previous_project_v2_candidate	g-p-692604860ac48191a223bf20aeb4ce69	conversations-016.json	6928b040-e540-832d-87a6-8fecd1f6477e	Generate JSON definition	2025-11-27T20:10:42.485608+00:00	2025-11-27T20:11:26.060275+00:00	project_v2	False
previous_project_v2_candidate	g-p-692604860ac48191a223bf20aeb4ce69	conversations-016.json	6928b0b4-c880-8327-856a-6852aac614d3	Orchestration graph generation	2025-11-27T20:12:38.064965+00:00	2025-12-26T18:38:08.640611+00:00	project_v2	False
previous_project_v2_candidate	g-p-692604860ac48191a223bf20aeb4ce69	conversations-016.json	6928b270-d0dc-8330-b795-f3bc6c683b96	BPMN workflow diagram	2025-11-27T20:20:09.454863+00:00	2025-11-27T20:20:45.962220+00:00	project_v2	False
previous_project_v2_candidate	g-p-692604860ac48191a223bf20aeb4ce69	conversations-016.json	6928b327-3dd8-8332-bd1d-629d83278169	Git repository structure	2025-11-27T20:23:04.512730+00:00	2025-11-27T20:23:51.015307+00:00	project_v2	False
previous_project_v2_candidate	g-p-692604860ac48191a223bf20aeb4ce69	conversations-016.json	6928b3bb-9240-8326-813e-f72f794a5b4f	Templated scaffold generation	2025-11-27T20:25:35.652114+00:00	2025-11-27T20:26:19.099775+00:00	project_v2	False
previous_project_v2_candidate	g-p-692604860ac48191a223bf20aeb4ce69	conversations-016.json	6928b46c-f048-8332-886c-3d95607d8d6e	GitHub Actions CI/CD	2025-11-27T20:28:30.452649+00:00	2025-11-27T20:29:27.204234+00:00	project_v2	False
previous_project_v2_candidate	g-p-692604860ac48191a223bf20aeb4ce69	conversations-016.json	6928b53b-3de8-8330-8d28-b975fe7b80a6	Monorepo alternative structure	2025-11-27T20:31:56.837256+00:00	2025-11-27T20:34:39.108590+00:00	project_v2	False
previous_project_v2_candidate	g-p-692604860ac48191a223bf20aeb4ce69	conversations-016.json	6928b6d6-e33c-8329-8731-f50e243e8f05	Generate monorepo structure	2025-11-27T20:38:48.848422+00:00	2025-11-27T20:39:52.599522+00:00	project_v2	False
previous_project_v2_candidate	g-p-692604860ac48191a223bf20aeb4ce69	conversations-016.json	6928b7e0-a6a0-832e-b666-3ca8909dd832	Automating Code Growth	2025-11-27T20:43:14.426665+00:00	2025-11-27T20:50:17.777394+00:00	project_v2	False
previous_project_v2_candidate	g-p-692604860ac48191a223bf20aeb4ce69	conversations-017.json	694ed156-1434-832d-9fa0-2ec8a57f351d	Chat Review and Specs	2025-12-26T18:18:00.611547+00:00	2025-12-26T18:20:20.902652+00:00	project_v2	False
